V,220215,092234.101,+,,+,,0.00,-00.61,-08.58,-78.40;
V,220215,092235.101,+,,+,,0.00,-00.61,-09.19,-78.40;
V,220215,092236.101,+,,+,,0.00,+00.00,-06.74,-78.40;
V,220215,092237.101,+,,+,,0.00,-00.61,-07.96,-78.40;
V,220215,092238.307,+,,+,,0.00,+00.00,-07.35,-78.40;
V,220215,092239.307,+,,+,,0.00,+00.00,-08.58,-78.40;
V,220215,092240.307,+,,+,,0.00,-00.61,-07.35,-78.40;
V,220215,092241.307,+,,+,,0.00,+00.00,-08.58,-78.40;
V,220215,092241.307,+,,+,,0.00,+00.00,-07.96,-78.40;
V,220215,092243.307,+,,+,,0.00,-01.23,-07.96,-78.40;
V,220215,092244.307,+,,+,,0.00,+00.61,-07.96,-78.40;
V,220215,092245.307,+,,+,,0.00,-01.84,-07.35,-78.40;
V,220215,092246.307,+,,+,,0.00,+00.00,-07.96,-78.40;
V,220215,092247.307,+,,+,,0.00,+00.00,-07.35,-78.40;
V,220215,092248.307,+,,+,,0.00,+00.00,-07.96,-78.40;
V,220215,092249.307,+,,+,,0.00,-00.61,-07.35,-78.40;
V,220215,092250.099,+,,+,,0.00,+00.00,-07.35,-78.40;
V,220215,092251.099,+,,+,,0.00,-00.61,-06.74,-78.40;
V,220215,092252.099,+,,+,,0.00,+00.00,-07.96,-78.40;
V,220215,092253.099,+,,+,,0.00,+00.00,-07.35,-78.40;
V,220215,092254.099,+,,+,,0.00,-00.61,-07.35,-78.40;
V,220215,092255.099,+,,+,,0.00,+00.00,-08.58,-78.40;
V,220215,092256.091,+,,+,,0.00,-00.61,-08.58,-78.40;
V,220215,092257.092,+,,+,,0.00,+00.00,-07.96,-78.40;
V,220215,092258.092,+,,+,,6.64,-00.61,-07.96,-78.40;
V,220215,092259.092,+,,+,,9.64,-00.61,-08.58,-78.40;
V,220215,092300.092,+,,+,,11.83,-01.84,-07.96,-78.40;
V,220215,092301.092,+,,+,,13.30,-01.23,-07.35,-78.40;
A,220215,092302.081,+5836.6264,N,+02430.3740,E,15.53,-01.84,-07.96,-78.40;
A,220215,092302.081,+5836.6264,N,+02430.3740,E,15.53,+00.00,-07.96,-78.40;
A,220215,092304.000,+5836.6191,N,+02430.3671,E,15.46,-01.23,-07.96,-78.40;
A,220215,092305.000,+5836.6156,N,+02430.3635,E,15.42,-00.61,-07.96,-78.40;
A,220215,092306.000,+5836.6121,N,+02430.3602,E,15.84,-01.84,-07.35,-78.40;
A,220215,092307.000,+5836.6091,N,+02430.3565,E,15.72,-01.23,-08.58,-78.40;
A,220215,092308.000,+5836.6048,N,+02430.3538,E,15.36,+01.23,-07.96,-78.40;
A,220215,092309.000,+5836.6002,N,+02430.3512,E,14.59,+00.00,-07.96,-78.40;
A,220215,092310.000,+5836.5964,N,+02430.3486,E,14.17,+00.00,-07.96,-78.40;
A,220215,092311.000,+5836.5927,N,+02430.3454,E,14.97,-00.61,-06.12,-78.40;
A,220215,092312.000,+5836.5893,N,+02430.3415,E,14.64,+00.61,-07.35,-78.40;
A,220215,092313.000,+5836.5859,N,+02430.3372,E,14.25,-01.23,-07.96,-78.40;
A,220215,092314.000,+5836.5817,N,+02430.3331,E,14.90,+00.00,-08.58,-78.40;
A,220215,092315.000,+5836.5782,N,+02430.3295,E,14.39,-00.61,-07.96,-78.40;
A,220215,092316.000,+5836.5745,N,+02430.3256,E,14.00,-00.61,-07.96,-78.40;
A,220215,092317.000,+5836.5711,N,+02430.3222,E,13.59,-00.61,-07.96,-78.40;
A,220215,092317.000,+5836.5711,N,+02430.3222,E,13.59,-00.61,-07.96,-78.40;
A,220215,092319.000,+5836.5642,N,+02430.3146,E,13.62,-01.23,-07.35,-78.40;
